福知山市,856662,1808572,792139,1880699,920189,2008560,922951,2095285,946618,1936377
舞鶴市,1830580,2438814,2309588,3269589,2290488,3658147,2400148,4061966,2548679,4521978
綾部市,555459,676918,608766,730204,659957,767970,682817,749583,663160,713973
宇治市,3947844,5267500,5201764,9070386,5598011,10967393,5587147,10790197,5509815,13142852
宮津市,2771700,8884284,2725600,8885767,2973000,9571024,2908700,9396381,3005400,9713737
亀岡市,2268619,5545357,2408467,6300330,2679348,7304168,2799860,7420680,2909122,7469340
城陽市,982618,1941695,1020274,1826638,1030912,1707034,1008490,1848201,950855,1885448
向日市,254408,92717,259170,87703,324699,99346,366430,106390,472823,140914
長岡京市,1239745,508667,1256806,546520,1215951,532991,1279323,575993,1261982,549311
八幡市,1884226,460084,1829850,453623,1819463,503981,2065319,631183,2601890,638431
京田辺市,210890,655252,206992,652915,205745,662327,210284,671903,212264,651119
京丹後市,1758624,6100065,1733520,6153656,2193385,6702462,2195630,6834010,2184798,6442855
南丹市,1789267,2344294,1717209,2618219,1912960,2679986,2661484,2938263,2553537,2960390
木津川市,921388,2040124,943470,2141258,998310,2213696,987024,2255234,1005158,2281425
